Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
XGBoost,0.9868568232662193,0.92,0.7976878612716763,0.8544891640866873,0.9929915630377142
SVM,0.9860178970917226,0.948905109489051,0.7514450867052023,0.8387096774193549,0.9847465429177586
Random Forest,0.9832214765100671,0.924812030075188,0.7109826589595376,0.803921568627451,0.9935996629971174
Logistic Regression,0.9776286353467561,0.7203791469194313,0.8786127167630058,0.7916666666666666,0.9824466341327527
Naive Bayes,0.9667225950782998,0.6646341463414634,0.630057803468208,0.6468842729970327,0.955309748793567
